category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/Z2vj/,Negotiable,Today 10:50,https://img01.olx.co.ke/images_olxke/1000867899_1_261x203_hp-core-2duo-24ghz4gb-500gb-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Hp core 2duo 2.4ghz..4gb/500gb,"KSh  19,500",https://www.olx.co.ke/ad/hp-core-2duo-2-4ghz-4gb-500gb-ID15Jccl.html#d17966c0ae,Nairobi CBD,On site since Aug 2015,Hp core 2duo 2.4ghz..4gb/500gb,,Ad,flashworldcoms,Call. Whatsup or visit our shop at tomboya strt opp imenti hse dominion hse shop no 10c
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6LOkK/,,Today 11:34,https://img01.olx.co.ke/images_olxke/1002050314_1_261x203_pioneer-cdj850-140k-neg-nairobi-cbd_rev003.jpg,"Nairobi CBD, Nairobi",Individual,Pioneer Cdj850 140k neg,"KSh  140,000",https://www.olx.co.ke/ad/pioneer-cdj850-140k-neg-ID15O06Y.html#4d8f149373,Nairobi CBD,On site since Jun 2015,Pioneer Cdj850 140k neg,,Ad,Storm Imports,Clean as new pioneer cdj850s in mint condition. Import from UK
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6OR5z/,,Today 10:53,https://img01.olx.co.ke/images_olxke/1002335356_1_261x203_brand-new-sayona-41-system-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Brand new sayona 4.1 system,"KSh  10,999",https://www.olx.co.ke/ad/brand-new-sayona-4-1-system-ID15P55z.html#db21fd196a,Nairobi CBD,On site since Jan 2017,Brand new sayona 4.1 system,,Ad,Philoh,Bluetooth
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6OR5z/,,Today 10:46,https://img03.olx.co.ke/images_olxke/1002540491_1_261x203_hisense-43-inch-led-digital-tv-available-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Hisense 43 inch LED Digital TV available,"KSh  45,000",https://www.olx.co.ke/ad/hisense-43-inch-led-digital-tv-available-ID15POI3.html#7d5c657885,Nairobi CBD,On site since Jan 2017,Hisense 43 inch LED Digital TV available,,Ad,Philoh,Inbuilt decoder with FTA channels
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Ma0g/,Negotiable,Today 10:53,https://img03.olx.co.ke/images_olxke/1002485151_1_261x203_a-slim-hpwith-nvidia-graphics-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,"A slim hp,with nvidia graphics","KSh  3,300",https://www.olx.co.ke/ad/a-slim-hp-with-nvidia-graphics-ID15PCuy.html#db21fd196a,Nairobi CBD,On site since Jun 2016,"A slim hp,with nvidia graphics","Added at 10:53, 22 February 2017,",Ad,Dennis Karebi,"4 gb ram,500 gb hdd,2,40 ghz."
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6Ohcf/,,Today 11:04,https://img02.olx.co.ke/images_olxke/1002491571_1_261x203_hp-core-2-duo-desktop-tower-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Hp Core 2 Duo Desktop Tower,"KSh  10,000",https://www.olx.co.ke/ad/hp-core-2-duo-desktop-tower-ID15PE0O.html#70910265d2,Nairobi CBD,On site since Sep 2016,Hp Core 2 Duo Desktop Tower,"Added at 11:04, 22 February 2017,",Ad,Carloz,2.1 ghz speed
Electronics & Video » Computers & Laptops,,Negotiable,Today 10:33,https://img02.olx.co.ke/images_olxke/1002522024_1_261x203_quick-sale-4gb-hp-hd-160gb-window10-at-13k-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Quick sale!! 4GB HP HD 160GB window10 At 13K,"KSh  13,000",https://www.olx.co.ke/ad/quick-sale-4gb-hp-hd-160gb-window10-at-13k-ID15PKLb.html#ddd776abfa,Nairobi CBD,On site since Dec 2016,Quick sale!! 4GB HP HD 160GB window10 At 13K,,Ad,0711573554,Quick sale!! 4GB HP HD 160GB window10 At 13K
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6NNgr/,Negotiable,Today 10:50,https://img01.olx.co.ke/images_olxke/1001809909_1_261x203_hp-pavilion-15-an004tx-star-wars-edition-at-shop-with-1-year-warranty-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Hp Pavilion 15-an004tx Star wars edition at shop with 1 year warranty,"KSh  58,000",https://www.olx.co.ke/ad/hp-pavilion-15-an004tx-star-wars-edition-at-shop-with-1-year-warranty-ID15N1Bq.html#d17966c0ae,Nairobi CBD,On site since Jul 2016,Hp Pavilion 15-an004tx Star wars edition at shop with 1 year warranty,"Added at 10:50, 22 February 2017,",Ad,javytech,intel core i5
"Electronics & Video » TV, Audio & Video",https://www.olx.co.ke/ads/user/6OxPy/,Negotiable,Today 10:39,https://img01.olx.co.ke/images_olxke/1002094627_1_261x203_hisense-tv-43inch-4k-ultra-smart-mwembe-tayari.jpg,"Mwembe tayari, Mvita, Mombasa",Business,hisense tv 43inch 4k Ultra smart,"KSh  42,000",https://www.olx.co.ke/ad/hisense-tv-43inch-4k-ultra-smart-ID15OaL3.html#ae517c861d,Mwembe tayari,On site since Nov 2016,Hisense tv 43inch 4k Ultra smart,"Added at 10:39, 22 February 2017,",Ad,onesmus,wifi enabled
Electronics & Video » Computers & Laptops,https://www.olx.co.ke/ads/user/6P9wq/,,Today 11:47,https://img03.olx.co.ke/images_olxke/1002536448_1_261x203_laptop-bombolulu.jpg,"Bombolulu, Mombasa",Individual,Laptop,"KSh  30,000",https://www.olx.co.ke/ad/laptop-ID15PNTo.html#ad1b122f2d,Bombolulu,On site since Feb 2017,Laptop,,Ad,Grace,It's a Lenovo laptop
