category,users_products_link,cost_terms,created,image,location2,user_type,name,cost,link,location,user_since,name2,created2,summary,user,desc
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1w7I2/,Negotiable,Today 08:11,https://img03.olx.co.ke/images_olxke/1002554966_1_261x203_puma-xeg-shoes-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Puma XEG shoes,"KSh  4,000",https://www.olx.co.ke/ad/puma-xeg-shoes-ID15PRLV.html#41c6a49c7f,Nairobi CBD,On site since Jan 2015,Puma XEG shoes,,Ad,Jenna,Puma XEg Sneakers available in different sizes and colours.
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1w7I2/,Negotiable,Today 08:12,https://img02.olx.co.ke/images_olxke/1002331631_1_261x203_nike-led-low-cut-shoes-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Nike Led Low cut shoes,"KSh  3,300",https://www.olx.co.ke/ad/nike-led-low-cut-shoes-ID15P4fT.html#41c6a49c7f,Nairobi CBD,On site since Jan 2015,Nike Led Low cut shoes,,Ad,Jenna,Brand new Low cut led available in different sizes and designs.
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/6P9hr/,Negotiable,Today 08:12,https://img02.olx.co.ke/images_olxke/1002557117_1_261x203_homemade-detergents-ndaragwa.jpg,"Mairo-Inya, Ndaragwa, Nyandarua",Individual,Homemade Detergents,KSh  20,https://www.olx.co.ke/ad/homemade-detergents-ID15PSgx.html#41c6a49c7f,Mairo-Inya,On site since Feb 2017,Homemade Detergents,"Added at 08:12, 22 February 2017,",Ad,Beth Nyambura,Home made Detergents ranging from:
Fashion & Beauty » Babies & Kids,https://www.olx.co.ke/ads/user/6Oxc5/,,Today 08:11,https://img03.olx.co.ke/images_olxke/1002317824_1_261x203_kids-underwear-boys-n-girls-bamburi_rev002.jpg,"Bamburi, Kisauni, Mombasa",Individual,kids underwear boys n girls,KSh  150,https://www.olx.co.ke/ad/kids-underwear-boys-n-girls-ID15P0Zs.html#41c6a49c7f,Bamburi,On site since Nov 2016,Kids underwear boys n girls,,Ad,Angela,Kids panties and boxers for both girls n boys. age 3-9. Pure cotton material. I deliver for free to homes and workplaces. call or whatsapp
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6P9kp/,Negotiable,Today 10:48,https://img03.olx.co.ke/images_olxke/1002535872_1_261x203_black-wedge-shoes-bamburi.jpg,"Bamburi, Kisauni, Mombasa",Individual,Black wedge shoes,"KSh  1,000",https://www.olx.co.ke/ad/black-wedge-shoes-ID15PNLo.html#57743a2e6e,Bamburi,On site since Feb 2017,Black wedge shoes,,Ad,Sally,"It is comfortable to walk on, shoe size 36."
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6NAR7/,Negotiable,Today 10:48,https://img03.olx.co.ke/images_olxke/1002535814_1_261x203_wedding-gown-umoja.jpg,"Umoja, Embakasi West, Nairobi",Individual,Wedding gown,"KSh  10,000",https://www.olx.co.ke/ad/wedding-gown-ID15PNKF.html#57743a2e6e,Umoja,On site since Jun 2016,Wedding gown,,Ad,sherlyne,Fishtail wedding dress
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/6Nuq9/,Negotiable,Today 10:48,https://img01.olx.co.ke/images_olxke/1002535848_1_261x203_gshock-fishermans-geardeliveries-westlands.jpg,"Westlands, Nairobi",Individual,Gshock fisherman's gear(deliveries),"KSh  1,800",https://www.olx.co.ke/ad/gshock-fishermans-geardeliveries-ID15PNL5.html#57743a2e6e,Westlands,On site since Jun 2016,Gshock fisherman's gear(deliveries),,Ad,Harrison,For 25 years Casio g-shock have been the ultimate tough watch providing durability robustness and tough design
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/6PbtW/,Negotiable,Today 10:50,https://img03.olx.co.ke/images_olxke/1002561637_1_261x203_customized-denim-jacket-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Customized Denim jacket,"KSh  2,500",https://www.olx.co.ke/ad/customized-denim-jacket-ID15PTfw.html#57743a2e6e,Nairobi CBD,On site since Feb 2017,Customized Denim jacket,,Ad,June,Incredible art
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1Hs8a/,Negotiable,Today 10:05,https://img03.olx.co.ke/images_olxke/1001830147_1_261x203_airmaxx-lowcut-sneakers-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,Airmaxx lowcut sneakers.,"KSh  3,400",https://www.olx.co.ke/ad/airmaxx-lowcut-sneakers-ID15N6G5.html#e11d411412,Nairobi CBD,On site since Jul 2016,Airmaxx lowcut sneakers.,"Added at 10:05, 22 February 2017,",Ad,Mkare,Cool and quality Airmaxx sneakers available in sizes 40-45 wth free socks and an led watch..link up via:
Fashion & Beauty » Babies & Kids,https://www.olx.co.ke/ads/user/6Oov9/,,Today 10:05,https://img01.olx.co.ke/images_olxke/1002125469_5_261x203_5pieces-in-1-set-diaper-bag-nairobi_rev004.jpg,"Nairobi CBD, Nairobi",Business,5pieces in 1 set Diaper bag,"KSh  1,800",https://www.olx.co.ke/ad/5pieces-in-1-set-diaper-bag-ID15Oiz7.html#e11d411412,Nairobi CBD,On site since Oct 2016,5pieces in 1 set Diaper bag,"Added at 10:05, 22 February 2017,",Ad,Timon baby shop,5PIECE DIAPER BAG
Fashion & Beauty » Clothing & Shoes,https://www.olx.co.ke/ads/user/1Hs8a/,Negotiable,Today 10:05,https://img03.olx.co.ke/images_olxke/1001830162_1_261x203_puma-roma-sneakers-nairobi-cbd_rev001.jpg,"Nairobi CBD, Nairobi",Business,Puma Roma sneakers.,"KSh  3,200",https://www.olx.co.ke/ad/puma-roma-sneakers-ID15N6Gl.html#e11d411412,Nairobi CBD,On site since Jul 2016,Puma Roma sneakers.,"Added at 10:05, 22 February 2017,",Ad,Mkare,QualityPuma roma sneakers available in sizes 40-45 wth free socks and an led watch..link up via:
"Fashion & Beauty » Watches, Jewelry & Accessories",https://www.olx.co.ke/ads/user/6Olmm/,,Today 10:05,https://img01.olx.co.ke/images_olxke/1002540973_1_261x203_watch-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Individual,Watch,"KSh  1,500",https://www.olx.co.ke/ad/watch-ID15POOo.html#e11d411412,Nairobi CBD,On site since Oct 2016,Watch,,Ad,Mobiphones and accessories,Original water prof watches
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/6O1dd/,,Yesterday 21:41,https://img02.olx.co.ke/images_olxke/1002534252_1_261x203_milani-tube-foundation-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,milani tube foundation,KSh  800,https://www.olx.co.ke/ad/milani-tube-foundation-ID15PNpB.html#d6f94fb799,Nairobi CBD,On site since Aug 2016,Milani tube foundation,,Ad,Jennifer muthoni,Get yourself milani matte foundation.
Fashion & Beauty » Health & Beauty,https://www.olx.co.ke/ads/user/6O1dd/,,Yesterday 21:41,https://img02.olx.co.ke/images_olxke/1002534258_1_261x203_milani-cream-to-powder-nairobi-cbd.jpg,"Nairobi CBD, Nairobi",Business,milani cream to powder,KSh  800,https://www.olx.co.ke/ad/milani-cream-to-powder-ID15PNpG.html#d6f94fb799,Nairobi CBD,On site since Aug 2016,Milani cream to powder,,Ad,Jennifer muthoni,Get yourself milani compact foundation..
